,age,worksalary_class,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary_class
16,25,Self_employed,176756.0,Secondary_edu,9,Single,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50K
17,32,Private,186824.0,Secondary_edu,9,Single,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
18,38,Private,39463.2,Primary_education,7,Married,Sales,Husband,White,Male,0,0,50,United-States,<=50K
19,43,Self_employed,292175.0,Post_Grad,14,Unmarried,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,>50K
20,40,Private,193524.0,PhD,14,Married,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
21,54,Private,302146.0,Secondary_edu,9,Unmarried,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K
22,35,Civil_servant,76845.0,Primary_education,5,Married,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K
23,43,Private,117037.0,Primary_education,7,Married,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
24,59,Private,109015.0,Secondary_edu,9,Unmarried,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
25,56,Civil_servant,216851.0,Graduate,13,Married,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
26,19,Private,168294.0,Secondary_edu,9,Single,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
27,54,Private,180211.0,Secondary_edu,10,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,60,Others,>50K
28,39,Private,367260.0,Secondary_edu,9,Unmarried,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
29,49,Private,193366.0,Secondary_edu,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
30,23,Civil_servant,190709.0,Secondary_edu,12,Single,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,<=50K
31,20,Private,266015.0,Secondary_edu,10,Single,Sales,Own-child,Black,Male,0,0,44,United-States,<=50K
32,45,Private,379699.1999999997,Graduate,13,Unmarried,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
33,30,Civil_servant,59951.0,Secondary_edu,10,Married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
34,22,Civil_servant,311512.0,Secondary_edu,10,Married,Other-service,Husband,Black,Male,0,0,18,United-States,<=50K
35,48,Private,242406.0,Primary_education,7,Single,Machine-op-inspct,Unmarried,White,Male,0,0,40,Others,<=50K
36,21,Private,197200.0,Secondary_edu,10,Single,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
37,19,Private,379699.1999999997,Secondary_edu,9,Married,Adm-clerical,Wife,White,Female,0,0,25,United-States,<=50K
38,31,Private,84154.0,Secondary_edu,10,Married,Sales,Husband,White,Male,0,0,38,United-States,>50K
39,48,Self_employed,265477.0,Secondary_edu,12,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
40,31,Private,379699.1999999997,Primary_education,5,Married,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,<=50K
41,53,Self_employed,88506.0,Graduate,13,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
42,24,Private,172987.0,Graduate,13,Married,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K
43,49,Private,94638.0,Secondary_edu,9,Unmarried,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
44,25,Private,289980.0,Secondary_edu,9,Single,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50K
45,57,Civil_servant,337895.0,Graduate,13,Married,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
46,53,Private,144361.0,Secondary_edu,9,Married,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
47,44,Private,128354.0,Post_Grad,14,Unmarried,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
48,41,Civil_servant,101603.0,Secondary_edu,11,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
49,29,Private,271466.0,Secondary_edu,11,Single,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50K
50,25,Private,39463.2,Secondary_edu,10,Married,Exec-managerial,Wife,Other,Female,0,0,40,United-States,<=50K
51,19,Private,226956.0,Secondary_edu,9,Single,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K
52,47,Private,51835.0,Secondary_edu,14,Married,Prof-specialty,Wife,White,Female,0,0,60,Others,>50K
53,50,Civil_servant,251585.0,Graduate,13,Unmarried,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K
54,47,Self_employed,109832.0,Secondary_edu,9,Unmarried,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
55,43,Private,237993.0,Secondary_edu,10,Married,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
56,46,Private,216666.0,Primary_education,5,Married,Machine-op-inspct,Husband,White,Male,0,0,40,Others,<=50K
57,35,Private,56352.0,Secondary_edu,11,Married,Other-service,Husband,White,Male,0,0,40,Others,<=50K
58,41,Private,147372.0,Secondary_edu,9,Married,Adm-clerical,Husband,White,Male,0,0,48,United-States,<=50K
59,30,Private,188146.0,Secondary_edu,9,Married,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,<=50K
60,30,Private,59496.0,Graduate,13,Married,Sales,Husband,White,Male,2407,0,40,United-States,<=50K
61,32,Private,293936.0,Primary_education,5,Married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
62,48,Private,149640.0,Secondary_edu,9,Married,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
63,42,Private,116632.0,PhD,14,Married,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
64,29,Private,105598.0,Secondary_edu,10,Unmarried,Tech-support,Not-in-family,White,Male,0,0,58,United-States,<=50K
65,36,Private,155537.0,Secondary_edu,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
66,28,Private,183175.0,Secondary_edu,10,Unmarried,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
67,53,Private,169846.0,Secondary_edu,9,Married,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
68,49,Self_employed,191681.0,Secondary_edu,10,Married,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
69,25,Private,200681.0,Secondary_edu,10,Single,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
70,19,Private,101509.0,Secondary_edu,10,Single,Prof-specialty,Own-child,White,Male,0,0,32,United-States,<=50K
71,31,Private,309974.0,Graduate,13,Unmarried,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K
72,29,Self_employed,162298.0,Graduate,13,Married,Sales,Husband,White,Male,0,0,60,United-States,>50K
73,23,Private,211678.0,Secondary_edu,10,Single,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
74,63,Private,124744.0,Secondary_edu,10,Married,Prof-specialty,Other-relative,White,Male,0,0,20,United-States,<=50K
75,27,Private,213921.0,Secondary_edu,9,Single,Other-service,Own-child,White,Male,0,0,40,Others,<=50K
76,40,Private,39463.2,Secondary_edu,12,Married,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
77,63,Private,212759.0,Primary_education,6,Married,Prof-specialty,Husband,White,Male,0,0,18,United-States,<=50K
78,19,Private,309634.0,Primary_education,7,Single,Other-service,Own-child,White,Female,0,0,22,United-States,<=50K
79,31,Civil_servant,125927.0,Primary_education,5,Married,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
80,19,Private,379699.1999999997,Secondary_edu,9,Single,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K
81,52,Private,276515.0,Graduate,13,Married,Other-service,Husband,White,Male,0,0,40,Others,<=50K
82,46,Private,51618.0,Secondary_edu,9,Married,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
83,59,Private,159937.0,Secondary_edu,9,Married,Sales,Husband,White,Male,0,0,48,United-States,<=50K
84,44,Private,343591.0,Secondary_edu,9,Unmarried,Craft-repair,Not-in-family,White,Female,5013,0,40,United-States,>50K
85,53,Private,346253.0,Secondary_edu,9,Unmarried,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
86,49,Civil_servant,268234.0,Secondary_edu,9,Married,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
87,33,Private,202051.0,Post_Grad,14,Married,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
88,30,Private,54334.0,Primary_education,5,Single,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
89,43,Civil_servant,379699.1999999997,PhD,14,Single,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K
90,57,Private,249977.0,Secondary_edu,11,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
91,37,Private,286730.0,Secondary_edu,10,Unmarried,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
92,28,Private,212563.0,Secondary_edu,10,Unmarried,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,<=50K
93,30,Private,117747.0,Secondary_edu,9,Married,Sales,Wife,Asian-Pac-Islander,Female,0,0,35,United-States,<=50K
94,34,Civil_servant,226296.0,Graduate,13,Married,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
95,29,Civil_servant,115585.0,Secondary_edu,10,Single,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K
96,48,Self_employed,191277.0,PhD,14,Married,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
97,37,Private,202683.0,Secondary_edu,10,Married,Sales,Husband,White,Male,0,0,48,United-States,>50K
98,48,Private,171095.0,Secondary_edu,12,Unmarried,Exec-managerial,Unmarried,White,Female,0,0,40,Others,<=50K
99,32,Civil_servant,249409.0,Secondary_edu,9,Single,Other-service,Own-child,Black,Male,0,0,40,United-States,<=50K
100,63,Private,124191.0,Post_Grad,14,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
101,44,Private,198282.0,Graduate,13,Married,Exec-managerial,Husband,White,Male,5013,0,60,United-States,>50K
102,47,Self_employed,149116.0,Post_Grad,14,Single,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
103,20,Private,188300.0,Secondary_edu,10,Single,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
104,29,Private,103432.0,Secondary_edu,9,Single,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
105,32,Self_employed,317660.0,Secondary_edu,9,Married,Craft-repair,Husband,White,Male,5013,0,40,United-States,>50K
106,19,Private,304873.0,Primary_education,6,Single,Prof-specialty,Own-child,White,Female,5013,0,32,United-States,<=50K
107,30,Private,194901.0,Primary_education,7,Single,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
108,31,Civil_servant,189265.0,Secondary_edu,9,Single,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
109,42,Private,124692.0,Secondary_edu,9,Married,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
110,24,Private,379699.1999999997,Graduate,13,Single,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K
111,38,Private,65324.0,Secondary_edu,14,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
112,56,Self_employed,335605.0,Secondary_edu,9,Married,Other-service,Husband,White,Male,0,0,50,Others,>50K
113,28,Private,377869.0,Secondary_edu,10,Married,Sales,Wife,White,Female,4064,0,25,United-States,<=50K
114,36,Private,102864.0,Secondary_edu,9,Single,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
115,53,Private,95647.0,Primary_education,5,Married,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K
116,56,Self_employed,303090.0,Secondary_edu,10,Married,Sales,Husband,White,Male,0,0,50,United-States,<=50K
117,49,Civil_servant,197371.0,Secondary_edu,11,Married,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
118,55,Private,247552.0,Secondary_edu,10,Married,Sales,Husband,White,Male,0,0,56,United-States,<=50K
119,22,Private,102632.0,Secondary_edu,9,Single,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,<=50K
120,21,Private,199915.0,Secondary_edu,10,Single,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
121,40,Private,118853.0,Graduate,13,Married,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
122,30,Private,77143.0,Graduate,13,Single,Exec-managerial,Own-child,Black,Male,0,0,40,Others,<=50K
123,29,Civil_servant,267989.0,Graduate,13,Married,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
124,19,Private,301606.0,Secondary_edu,10,Single,Other-service,Own-child,Black,Male,0,0,35,United-States,<=50K
125,47,Private,287828.0,Graduate,13,Married,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K
126,20,Private,111697.0,Secondary_edu,10,Single,Adm-clerical,Own-child,White,Female,0,0,28,United-States,<=50K
127,31,Private,114937.0,Secondary_edu,12,Married,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
128,35,Private,129305.0,Secondary_edu,9,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
129,39,Private,365739.0,Secondary_edu,10,Unmarried,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
130,28,Private,69621.0,Secondary_edu,12,Single,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50K
131,24,Private,43323.0,Secondary_edu,9,Single,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
132,38,Self_employed,120985.0,Secondary_edu,9,Married,Craft-repair,Husband,White,Male,4386,0,35,United-States,<=50K
133,37,Private,254202.0,Graduate,13,Married,Sales,Husband,White,Male,0,0,50,United-States,<=50K
134,46,Private,146195.0,Secondary_edu,12,Unmarried,Tech-support,Not-in-family,Black,Female,0,0,36,United-States,<=50K
135,38,Civil_servant,125933.0,Post_Grad,14,Married,Prof-specialty,Husband,White,Male,0,0,40,Others,>50K
136,43,Self_employed,56920.0,Secondary_edu,9,Married,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
137,27,Private,163127.0,Secondary_edu,11,Married,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K
138,20,Private,39463.2,Secondary_edu,10,Single,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
139,49,Private,81973.0,Secondary_edu,10,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
140,61,Self_employed,66614.0,Secondary_edu,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
141,27,Private,232782.0,Secondary_edu,10,Single,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
142,19,Private,316868.0,Secondary_edu,10,Single,Other-service,Own-child,White,Male,0,0,30,Others,<=50K
143,45,Private,196584.0,Secondary_edu,11,Single,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K
144,63,Private,105376.0,Secondary_edu,10,Single,Tech-support,Other-relative,White,Male,0,0,40,United-States,<=50K
145,31,Private,185814.0,Secondary_edu,9,Single,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,<=50K
146,22,Private,175374.0,Secondary_edu,10,Married,Other-service,Husband,White,Male,0,0,24,United-States,<=50K
147,36,Private,108293.0,Secondary_edu,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States,<=50K
148,63,Private,181232.0,Primary_education,7,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
149,43,Private,174662.0,Secondary_edu,10,Unmarried,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
150,47,Civil_servant,186009.0,Secondary_edu,10,Unmarried,Adm-clerical,Unmarried,White,Female,0,0,38,Others,<=50K
151,34,Private,198183.0,Secondary_edu,9,Single,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
152,33,Private,163003.0,Graduate,13,Single,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Others,<=50K
153,21,Private,296158.0,Secondary_edu,9,Single,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50K
154,52,Private,252903.0,Secondary_edu,9,Unmarried,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,>50K
155,48,Private,187715.0,Secondary_edu,9,Married,Craft-repair,Husband,White,Male,0,0,46,United-States,<=50K
156,23,Private,214542.0,Graduate,13,Single,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
157,63,Self_employed,379699.1999999997,Secondary_edu,10,Unmarried,Sales,Unmarried,Black,Male,0,0,18,United-States,<=50K
158,29,Private,191535.0,Secondary_edu,9,Unmarried,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
159,42,Private,228456.0,Graduate,13,Unmarried,Other-service,Other-relative,Black,Male,0,0,50,United-States,<=50K
160,63,Private,39463.2,Primary_education,5,Unmarried,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K
161,25,Private,252752.0,Secondary_edu,9,Single,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
162,44,Self_employed,78374.0,Post_Grad,14,Unmarried,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
163,28,Private,88419.0,Secondary_edu,9,Single,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Others,<=50K
164,45,Self_employed,201080.0,Post_Grad,14,Married,Sales,Husband,White,Male,0,0,40,United-States,>50K
165,36,Private,207157.0,Secondary_edu,10,Unmarried,Other-service,Unmarried,White,Female,0,0,40,Others,<=50K
166,39,Civil_servant,235485.0,Secondary_edu,12,Single,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,<=50K
167,46,Civil_servant,102628.0,Post_Grad,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,United-States,<=50K
168,19,Private,39463.2,Primary_education,7,Single,Handlers-cleaners,Own-child,White,Male,0,0,18,United-States,<=50K
169,63,Civil_servant,54826.0,Secondary_edu,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K
170,27,Private,124953.0,Secondary_edu,9,Single,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
171,28,Civil_servant,175325.0,Secondary_edu,9,Married,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
172,51,Private,96062.0,Secondary_edu,10,Married,Sales,Husband,White,Male,0,0,40,United-States,>50K
173,27,Private,379699.1999999997,Graduate,13,Single,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
174,28,Civil_servant,149624.0,Graduate,13,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
175,27,Private,253814.0,Secondary_edu,9,Married,Sales,Unmarried,White,Female,0,0,25,United-States,<=50K
176,21,Private,312956.0,Secondary_edu,9,Single,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
177,34,Private,379699.1999999997,Secondary_edu,9,Single,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
178,19,Private,183930.0,Secondary_edu,9,Single,Other-service,Own-child,White,Male,0,0,18,United-States,<=50K
179,33,Private,39463.2,Graduate,13,Married,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K
180,44,Civil_servant,181344.0,Secondary_edu,10,Married,Exec-managerial,Husband,Black,Male,0,0,38,United-States,>50K
181,43,Private,114580.0,Secondary_edu,10,Unmarried,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
182,30,Private,379699.1999999997,Secondary_edu,10,Single,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,<=50K
183,40,Private,286370.0,Primary_education,5,Married,Machine-op-inspct,Husband,White,Male,0,0,40,Others,>50K
184,37,Civil_servant,39463.2,Secondary_edu,10,Married,Adm-clerical,Husband,White,Male,0,0,42,United-States,>50K
185,34,Private,304030.0,Secondary_edu,9,Married,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K
186,41,Self_employed,143129.0,Graduate,13,Unmarried,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
187,53,Private,135105.0,Graduate,13,Unmarried,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
188,31,Private,99928.0,Post_Grad,14,Married,Prof-specialty,Wife,White,Female,0,0,50,United-States,<=50K
189,58,Civil_servant,109567.0,PhD,14,Married,Prof-specialty,Husband,White,Male,0,0,18,United-States,>50K
190,38,Private,155222.0,Secondary_edu,10,Unmarried,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,United-States,<=50K
191,24,Private,159567.0,Secondary_edu,10,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
192,41,Civil_servant,379699.1999999997,Graduate,13,Married,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
193,47,Private,120939.0,Secondary_edu,10,Married,Tech-support,Husband,White,Male,0,0,45,United-States,<=50K
194,41,Civil_servant,130760.0,Graduate,13,Married,Tech-support,Husband,White,Male,0,0,24,United-States,<=50K
195,23,Private,197387.0,Primary_education,5,Married,Transport-moving,Other-relative,White,Male,0,0,40,Others,<=50K
196,36,Private,99374.0,Secondary_edu,10,Unmarried,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
197,40,Civil_servant,56795.0,Post_Grad,14,Single,Exec-managerial,Not-in-family,White,Female,5013,0,55,United-States,>50K
198,35,Private,138992.0,Post_Grad,14,Married,Prof-specialty,Other-relative,White,Male,5013,0,40,United-States,>50K
199,24,Self_employed,39463.2,Secondary_edu,9,Single,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
200,26,Private,379699.1999999997,Post_Grad,14,Single,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
201,19,Private,170653.0,Secondary_edu,9,Single,Prof-specialty,Own-child,White,Male,0,0,40,Others,<=50K
202,51,Private,259323.0,Graduate,13,Married,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
203,42,Civil_servant,254817.0,Secondary_edu,10,Single,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
204,37,Civil_servant,48211.0,Secondary_edu,9,Unmarried,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K
205,19,Private,140164.0,Primary_education,7,Single,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
206,36,Private,128757.0,Graduate,13,Married,Other-service,Husband,Black,Male,5013,0,36,United-States,>50K
207,35,Private,39463.2,Secondary_edu,9,Unmarried,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
208,58,Self_employed,210563.0,Secondary_edu,9,Married,Sales,Wife,White,Female,5013,0,35,United-States,>50K
209,19,Private,65368.0,Primary_education,7,Single,Sales,Own-child,White,Female,0,0,18,United-States,<=50K
210,44,Civil_servant,160943.0,Secondary_edu,9,Married,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
211,37,Private,208358.0,Secondary_edu,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
212,35,Private,153790.0,Secondary_edu,10,Single,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
213,60,Private,85815.0,Secondary_edu,9,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
214,54,Self_employed,125417.0,Primary_education,5,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
215,37,Private,379699.1999999997,Graduate,13,Single,Exec-managerial,Not-in-family,Black,Male,0,0,60,United-States,>50K
216,50,Private,313321.0,Secondary_edu,12,Unmarried,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
217,38,Private,182609.0,Graduate,13,Married,Sales,Husband,White,Male,0,0,50,Others,<=50K
218,45,Private,109434.0,Graduate,13,Married,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K
219,25,Private,255004.0,Primary_education,6,Single,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
220,31,Private,197860.0,Secondary_edu,10,Married,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
221,63,Private,187656.0,Primary_education,5,Unmarried,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
222,63,Private,51744.0,Secondary_edu,9,Single,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
223,54,Private,176681.0,Secondary_edu,9,Married,Adm-clerical,Husband,Black,Male,0,0,20,United-States,<=50K
224,53,Civil_servant,140359.0,Primary_education,5,Single,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,<=50K
225,19,Private,243313.0,Secondary_edu,9,Single,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
226,60,Private,39463.2,Primary_education,6,Unmarried,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,0,0,18,United-States,<=50K
227,63,Self_employed,167687.0,Secondary_edu,9,Married,Farming-fishing,Husband,White,Male,1409,0,50,United-States,<=50K
228,63,Private,314209.0,Secondary_edu,11,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,Others,<=50K
229,63,Private,176796.0,Secondary_edu,9,Unmarried,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
230,35,Private,379699.1999999997,Primary_education,7,Unmarried,Transport-moving,Not-in-family,Black,Male,3674,0,40,United-States,<=50K
231,41,Private,130408.0,Secondary_edu,9,Unmarried,Sales,Unmarried,Black,Female,0,0,38,United-States,<=50K
232,25,Private,159732.0,Secondary_edu,10,Single,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States,<=50K
233,33,Private,110978.0,Secondary_edu,10,Unmarried,Craft-repair,Other-relative,Other,Female,0,0,40,United-States,<=50K
234,28,Private,76714.0,Secondary_edu,14,Single,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,>50K
235,59,Civil_servant,268700.0,Secondary_edu,9,Married,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
